fund_code,fund_name,fund_type
000213,泰信鑫益定期开放C,债券型
000214,广发成长优选混合,混合型
000215,广发趋势优选灵活配置混合A,混合型
000216,华安黄金ETF联接A,指数型
000217,华安黄金ETF联接C,指数型
000218,国泰黄金ETF联接A,指数型
000219,博时裕益混合A,混合型
000220,富国医疗保健行业混合A,混合型
000221,汇添富年年利定期开放债券A,债券型
000222,汇添富年年利定期开放债券C,债券型
000227,华安年年红债券A,债券型
000235,诺安稳固收益一年定期开放债券A,债券型
000236,工银月月薪定期支付债券A,债券型
000239,华安年年盈定开债A,债券型
000240,华安年年盈定开债C,债券型
000241,宝盈核心优势混合C,混合型
000242,景顺长城策略精选灵活配置混合A,混合型
000244,天弘稳利定期开放A,债券型
000245,天弘稳利定期开放B,债券型
000248,汇添富中证主要消费ETF联接A,指数型
000251,工银金融地产混合A,混合型
000252,景顺长城景兴信用纯债债券A,债券型
000253,景顺长城景兴信用纯债债券C,债券型
000254,长城增强收益定开债券A,债券型
000255,长城增强收益定开债券C,债券型
000259,农银区间收益混合,混合型
000263,工银信息产业混合A,混合型
000264,博时内需增长混合A,混合型
000265,易方达恒久添利1年定开债A,债券型
000266,易方达恒久添利1年定开债C,债券型
000267,广发集利一年定开债A,债券型
000268,广发集利一年定开债C,债券型
000270,建信灵活配置混合A,混合型
000271,中邮定开债券A,债券型
000272,中邮定开债券C,债券型
000273,华润元大安鑫灵活配置混合A,混合型
000274,广发亚太中高收益债(QDII)A,QDII
000275,广发亚太中高收益债美元现汇(QDII)A,QDII
000277,博时双月薪债券A,债券型
000279,华商红利优选混合,混合型
000286,银华信用季季红债券A,债券型
000289,鹏华丰泰定开债A,债券型
000290,鹏华全球高收益债(QDII),QDII
000294,华安生态优先混合A,混合型
000295,鹏华丰实定期开放债券A,债券型
000296,鹏华丰实定期开放债券B,债券型
000297,鹏华可转债债券A,债券型
000298,中海纯债债券A,债券型
000299,中海纯债债券C,债券型
000300,德邦德利货币A,货币型
000301,德邦德利货币B,货币型
000305,中银中高等级债券A,债券型
000306,天弘弘利债券A,债券型
000307,易方达黄金ETF联接A,指数型
000308,建信创新中国混合,混合型
000309,大摩品质生活精选股票A,股票型
000310,安信永利信用债券A,债券型
000311,景顺长城沪深300指数增强A,指数型
000312,华安沪深300增强A,指数型
000313,华安沪深300增强C,指数型
000314,招商瑞丰灵活配置混合发起式A,混合型
000319,宏利淘利债券A,债券型
000320,宏利淘利债券C,债券型
000322,农银汇理金汇债券A,债券型
000324,华润元大现金收益货币A,货币型
000325,华润元大现金收益货币B,货币型
000326,南方中小盘成长股票A,股票型
000327,南方潜力新蓝筹混合A,混合型
000328,摩根转型动力混合A,混合型
000329,鹏华丰饶定开债,债券型
000330,汇添富现金宝货币A,货币型
000331,中加货币A,货币型
000332,中加货币C,货币型
000333,长城稳固收益债券A,债券型
000334,长城稳固收益债券C,债券型
000335,安信永利信用债券C,债券型
000336,农银研究精选混合,混合型
000338,鹏华双债保利债券B,债券型
000339,长城医疗保健混合A,混合型
000341,嘉实新兴市场C2(QDII),QDII
000342,嘉实新兴市场A1(QDII),QDII
000343,华夏财富宝货币A,货币型
000345,鹏华丰融定开债,债券型
000346,建信安心回报6个月定开A,债券型
000347,建信安心回报6个月定开C,债券型
000351,国富恒丰一年持有期债券A,债券型
000352,国富恒丰一年持有期债券C,债券型
000354,长盛城镇化主题混合A,混合型
000355,南方丰元信用增强债券A,债券型
000356,南方丰元信用增强债券C,债券型
000359,易方达易理财货币A,货币型
000362,国泰聚信价值优势混合A,混合型
000363,国泰聚信价值优势混合C,混合型
000366,汇添富添富通货币A,货币型
000367,国泰安康定期支付混合A,混合型
000368,汇添富沪深300安中指数A,指数型
000369,广发全球医疗保健指数人民币(QDII)A,指数型
000370,广发全球医疗保健美元现汇(QDII)A,指数型
000371,民生加银现金宝货币A,货币型
000372,中银惠利半年定期开放债券A,债券型
000373,华安中证细分医药ETF联接A,指数型
000376,华安中证细分医药ETF联接C,指数型
000377,摩根双债增利债券A,债券型
000378,摩根双债增利债券C,债券型
000379,平安日增利货币A,货币型
000380,景顺长城景益货币A,货币型
000381,景顺长城景益货币B,货币型
000385,景顺长城景颐双利债券A,债券型
000386,景顺长城景颐双利债券C,债券型
000389,广发天天红货币A,货币型
000390,华商优势行业混合A,混合型
000394,融通通源短融债券A,债券型
000395,汇添富安心中国债券A,债券型
000396,汇添富安心中国债券C,债券型
000397,汇添富全额宝货币A,货币型
000398,华富灵活配置混合A,混合型
000402,工银纯债债券A,债券型
000403,工银纯债债券B,债券型
000404,易方达新兴成长灵活配置,混合型
000406,汇添富双利增强债券A,债券型
000407,汇添富双利增强债券C,债券型
000408,民生加银城镇化混合A,混合型
000409,鹏华环保产业股票,股票型
000410,益民服务领先混合A,混合型
000411,景顺长城优质成长股票A,股票型
000414,嘉实绝对收益策略定期混合A,混合型
000415,大摩添利18个月定开债A,债券型
000416,大摩添利18个月定开债C,债券型
000417,国联安新精选混合A,混合型
000418,景顺长城成长之星股票A,股票型
000419,大摩优质信价纯债A,债券型
000420,大摩优质信价纯债C,债券型
000423,前海开源事件驱动混合A,混合型
000424,长盛添利宝货币A,货币型
000425,长盛添利宝货币B,货币型
000431,鹏华品牌传承混合,混合型
000432,中银优秀企业混合A,混合型
000433,安信鑫发优选混合A,混合型
000434,新华壹诺宝货币A,货币型
000436,易方达裕惠定开混合A,混合型
000452,南方医药保健灵活配置混合A,混合型
000457,摩根核心成长股票A,股票型
000458,英大领先回报A,混合型
000459,英大领先回报B,混合型
000462,农银主题轮动混合A,混合型
000464,嘉实活期宝货币A,货币型
000465,景顺长城鑫月薪定期支付债券,债券型
000469,富国目标齐利一年期纯债债券,债券型
000470,富国目标齐利一年期纯债债券(后端),债券型
000471,富国城镇发展股票,股票型
000472,富国城镇发展股票(后端),股票型
000475,广发天天利货币A,货币型
000476,广发天天利货币B,货币型
000477,广发主题领先混合A,混合型
000478,建信中证500指数增强A,指数型
000480,东方红新动力混合A,混合型
000483,鑫元货币A,货币型
000484,鑫元货币B,货币型
000487,嘉实3个月理财债券A,债券型
000488,嘉实3个月理财债券E,债券型
000493,南方现金通A,货币型
000494,南方现金通B,货币型
000495,南方现金通C,货币型
000496,长安产业精选混合A,混合型
000497,财通纯债债券A,债券型
000503,中信建投景和中短债A,债券型
000504,中信建投景和中短债C,债券型
000505,国寿安保货币A,货币型
000506,国寿安保货币B,货币型
000507,宏利宏达混合A,混合型
000508,宏利宏达混合B,混合型
000509,广发钱袋子货币A,货币型
000511,国泰国策驱动灵活配置混合A,混合型
000512,国泰沪深300指数增强A,指数型
000513,富国高端制造行业股票A,股票型
000514,富国高端制造行业股票A(后端),股票型
000516,富国祥利一年期定期开放债券型A,债券型
000517,富国祥利一年期定期开放债券型C,债券型
000520,上银新兴价值成长混合A,混合型
000521,诺安瑞鑫定开债券,债券型
000522,华润元大信息传媒科技混合A,混合型
000523,国投瑞银医疗保健混合A,混合型
000524,摩根民生需求股票A,股票型
000526,国泰浓益灵活配置混合A,混合型
000527,南方新优享灵活配置混合A,混合型
000528,工银薪金货币A,货币型
000529,广发竞争优势混合A,混合型
000530,招商丰盛稳定增长混合A,混合型
000531,东吴阿尔法灵活配置混合A,混合型
000532,景顺长城优势企业混合A,混合型
000533,永赢货币A,货币型
000534,长盛高端装备混合A,混合型
000535,长盛航天海工混合A,混合型
000536,前海开源可转债债券A,债券型
000538,诺安优势行业混合A,混合型
000539,中银活期宝货币A,货币型
000540,国金金腾通货币A,货币型
000541,华商创新成长混合发起式A,混合型
000542,上银慧财宝货币A,货币型
000543,上银慧财宝货币B,货币型
000545,中邮核心竞争力灵活配置混合,混合型
000546,兴业定开债A,债券型
000547,建信健康民生混合A,混合型
000548,鹏华聚财通货币,货币型
000549,华安大国新经济股票A,股票型
000550,广发新动力混合A,混合型
000551,中信保诚幸福消费混合A,混合型
000552,中加纯债一年A,债券型
000553,中加纯债一年C,债券型
000554,南方中国梦灵活配置混合A,混合型
000556,国投瑞银新机遇灵活配置混合A,混合型
000557,国投瑞银新机遇灵活配置混合C,混合型
000559,诺安天天宝A,货币型
000560,诺安天天宝E,货币型
000561,南方启元债券A,债券型
000562,南方启元债券C,债券型
000563,南方通利债券A,债券型
000564,南方通利债券C,债券型
000565,富国医疗保健行业混合A(后端),混合型
000566,华泰柏瑞创新升级混合A,混合型
000567,广发聚祥灵活混合,混合型
000569,鹏华增值宝货币,货币型
000572,中银多策略混合A,混合型
000573,天弘通利混合A,混合型
000574,宝盈新价值混合A,混合型
000575,兴全添利宝货币,货币型
000576,中邮货币A,货币型
000577,安信价值精选股票A,股票型
000578,鑫元恒鑫收益增强债券型发起式A,债券型
000579,鑫元恒鑫收益增强债券型发起式C,债券型
000580,中邮货币B,货币型
000581,嘉实活钱包货币A,货币型
000582,富国信用债债券A/B(后端),债券型
000583,江信聚福定开债,债券型
000584,新华鑫益灵活配置混合C,混合型
000585,嘉实对冲套利定期混合A,混合型
000586,景顺长城中小创精选股票A,股票型
000587,大成灵活配置混合A,混合型
000588,招商招钱宝货币A,货币型
000589,光大银发商机混合A,混合型
000590,华安新活力灵活配置混合A,混合型
000591,中银健康生活混合A,混合型
000592,建信改革红利股票A,股票型
000593,易方达标普消费品指数美元现汇A,指数型
000594,大摩进取优选股票,股票型
000595,嘉实泰和混合,混合型
000596,前海开源中证军工指数A,指数型
000597,中海积极收益混合,混合型
000598,长盛生态环境混合,混合型
000599,中信保诚薪金宝货币A,货币型
000600,汇添富和聚宝货币A,货币型
000601,华宝创新优选混合,混合型
000602,富国安益货币A,货币型
000603,易方达创新驱动灵活配置混合,混合型
000604,银华多利宝货币A,货币型
000605,银华多利宝货币B,货币型
